,movie_name,movie_ratings,movie_image,movie_genre
41,The Kashmir Files,8.7,"https://m.media-amazon.com/images/M/MV5BYzJkZDIwYTAtMGU4Mi00NzU3LWI1MWItODg0M2Q1NmIxYmNlXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UY209_CR13,0,140,209_AL_.jpg",Drama            
42,Anek,6.5,"https://m.media-amazon.com/images/M/MV5BYzNiNDM4NjYtZDMyMS00YTgyLWIzMWYtNmFhMjBiNWJiN2RjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg","Action, Drama, Sport            "
43,Jhund,7.4,"https://m.media-amazon.com/images/M/MV5BZmM1NjIwMDUtY2UxYy00YTQyLWE1NWYtMDljMDUxNTAzNmUyXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_UY209_CR13,0,140,209_AL_.jpg","Biography, Drama, Sport            "
44,Runway 34,7,"https://m.media-amazon.com/images/M/MV5BN2YzNjU4MTYtMzY5OS00ODg0LTkxMTUtNjg0YjRkYzI5ZWJjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR8,0,140,209_AL_.jpg","Drama, Thriller            "
45,Jersey,7.3,"https://m.media-amazon.com/images/M/MV5BNDQ4YmExNjctMGY5NC00N2RjLThiYjQtNGUxNTZjY2NhNTQyXkEyXkFqcGdeQXVyMTUxOTQwMzE0._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Sport            "
46,Gangubai Kathiawadi,7.8,"https://m.media-amazon.com/images/M/MV5BN2M4NDM2NDItMzgzNy00OWRiLThhNjEtZDA2OWMyNTcwYzRjXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_UY209_CR13,0,140,209_AL_.jpg","Biography, Crime, Drama            "
47,Jalsa,6.6,"https://m.media-amazon.com/images/M/MV5BYmI4MjgwM2QtMWJjNC00YjIxLWJkZTItMWJhMzFmZGVmMTlkXkEyXkFqcGdeQXVyMTE0MTY2Mzk2._V1_UY209_CR13,0,140,209_AL_.jpg","Drama, Thriller            "
48,Ante Sundharaniki,7.6,"https://m.media-amazon.com/images/M/MV5BMjVlYTk5OTEtZmU0MS00MWQwLThjNTMtN2Y1MDJiYmYyNWY2XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR13,0,140,209_AL_.jpg","Comedy, Romance            "
49,Twenty One Grams,6.9,"https://m.media-amazon.com/images/M/MV5BOWEyZjViOGItZTZmMi00YTg3LWFmMDEtMGNmZjQ1ODRmMTc1XkEyXkFqcGdeQXVyMTM1ODIwODgx._V1_UY209_CR1,0,140,209_AL_.jpg","Mystery, Thriller            "
50,777 Charlie,8.8,"https://m.media-amazon.com/images/M/MV5BMDhhMjBlMWYtMDVlMy00ZjM3LTg3MTUtZDg0NjA0YzcxOGY4XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_UY209_CR0,0,140,209_AL_.jpg","Adventure, Comedy, Drama            "
